,source,target,value
0,Cuba,United States,324.41
1,United States,Cuba,271.82001
2,Haiti,United States,17.68
3,United States,Haiti,12.3
4,Dominican Republic,United States,20.190001
5,United States,Dominican Republic,29.440001
6,Paraguay,United States,3.75
7,United States,Paraguay,5.5100002
8,Netherlands,United States,22.940001
9,United States,Netherlands,202.17
10,France,United States,62.799999
11,United States,France,1870.2001
12,Spain,United States,160.0
13,United States,Spain,1.44e-05
14,Poland,United States,0.25
15,United States,Poland,183.25999
16,Czechoslovakia,United States,19.16
17,United States,Czechoslovakia,17.1
18,Albania,United States,0.0049999999
19,United States,Albania,4.3200002
20,Yugoslavia,United States,1.22
21,United States,Yugoslavia,126.61
22,Greece,United States,23.65
23,United States,Greece,143.64
24,Norway,United States,13.23
25,United States,Norway,96.239998
26,Denmark,United States,4.27
27,United States,Denmark,53.490002
28,Ethiopia,United States,3.47
29,United States,Ethiopia,0.70999998
30,Egypt,United States,24.040001
31,United States,Egypt,35.27
32,Syria,United States,8.4899998
33,United States,Syria,17.110001
34,Cuba,Canada,12.33
35,Canada,Cuba,4.4400001
36,Haiti,Canada,0.72000003
37,Canada,Haiti,0.94
38,Dominican Republic,Canada,6.6399999
39,Canada,Dominican Republic,1.3
40,Paraguay,Canada,0.23999999
41,Canada,Paraguay,0.07
42,Netherlands,Canada,2.3199999
43,Canada,Netherlands,0.0
44,France,Canada,4.3000002
45,Canada,France,195.68311
46,Poland,Canada,0.00048799999
47,Canada,Poland,18.99
48,Czechoslovakia,Canada,0.88999999
49,Canada,Czechoslovakia,2.4100001
50,Albania,Canada,0.0
51,Canada,Albania,0.1
52,Yugoslavia,Canada,0.001697
53,Canada,Yugoslavia,10.15
54,Greece,Canada,0.050000001
55,Canada,Greece,8.2200003
56,Norway,Canada,0.76999998
57,Canada,Norway,26.610001
58,Denmark,Canada,0.14
59,Canada,Denmark,1.25
60,Ethiopia,Canada,0.0010310001
61,Canada,Ethiopia,0.02
62,Egypt,Canada,0.23
63,Canada,Egypt,12.73
64,Syria,Canada,0.059999999
65,Canada,Syria,0.19
66,Nicaragua,Cuba,0.76999998
67,Cuba,Nicaragua,0.0099999998
68,Costa Rica,Cuba,0.090000004
69,Cuba,Costa Rica,1.12
70,Colombia,Cuba,0.0
71,Cuba,Colombia,2.1500001
72,Venezuela,Cuba,0.039999999
73,Cuba,Venezuela,2.3800001
74,Peru,Cuba,0.14
75,Cuba,Peru,0.52999997
76,Brazil,Cuba,0.14
77,Cuba,Brazil,0.11
78,Argentina,Cuba,0.94999999
79,Cuba,Argentina,0.34999999
80,United Kingdom,Cuba,18.57
81,Cuba,United Kingdom,82.660004
82,Ireland,Cuba,0.0
83,Cuba,Ireland,0.25
84,Netherlands,Cuba,0.0
85,Cuba,Netherlands,7.7399998
86,France,Cuba,0.0099999998
87,Cuba,France,31.012285
88,Switzerland,Cuba,0.86000001
89,Cuba,Switzerland,11.13
90,Spain,Cuba,0.14
91,Cuba,Spain,2.5899999
92,Portugal,Cuba,0.029999999
93,Cuba,Portugal,0.16
94,Czechoslovakia,Cuba,0.008285
95,Cuba,Czechoslovakia,0.0
96,Italy,Cuba,0.0
97,Cuba,Italy,0.0
98,Sweden,Cuba,1.09
99,Cuba,Sweden,0.56999999
100,Norway,Cuba,0.50999999
101,Cuba,Norway,0.07
102,Denmark,Cuba,0.0
103,Cuba,Denmark,0.0
104,South Africa,Cuba,0.0
105,Cuba,South Africa,0.94999999
106,Australia,Cuba,0.0
107,Cuba,Australia,0.13
108,New Zealand,Cuba,3.1e-05
109,Cuba,New Zealand,0.0099999998
110,Costa Rica,Haiti,0.0
111,Haiti,Costa Rica,2e-06
112,Colombia,Haiti,0.0
113,Haiti,Colombia,1.39
114,Venezuela,Haiti,0.00046899999
115,Haiti,Venezuela,0.039999999
116,Peru,Haiti,5.0999999e-05
117,Haiti,Peru,0.0099999998
118,Brazil,Haiti,9.2000002e-05
119,Haiti,Brazil,0.0
120,Argentina,Haiti,0.039999999
121,Haiti,Argentina,0.0099999998
122,United Kingdom,Haiti,0.95999998
123,Haiti,United Kingdom,2.02
124,Netherlands,Haiti,0.0
125,Haiti,Netherlands,0.0
126,France,Haiti,0.00063299999
127,Haiti,France,0.029999999
128,Switzerland,Haiti,0.0099999998
129,Haiti,Switzerland,0.74000001
130,Spain,Haiti,0.0
131,Haiti,Spain,0.0
132,Portugal,Haiti,0.0
133,Haiti,Portugal,0.0
134,Italy,Haiti,0.0
135,Haiti,Italy,0.0
136,Norway,Haiti,8.0999998e-05
137,Haiti,Norway,0.38
138,South Africa,Haiti,0.0
139,Haiti,South Africa,0.0037169999
140,Australia,Haiti,0.0
141,Haiti,Australia,0.0099999998
142,New Zealand,Haiti,0.0
143,Haiti,New Zealand,0.000206
144,Nicaragua,Dominican Republic,0.0
145,Dominican Republic,Nicaragua,0.0
146,Costa Rica,Dominican Republic,0.00139
147,Dominican Republic,Costa Rica,0.000143
148,Colombia,Dominican Republic,0.0
149,Dominican Republic,Colombia,0.0099999998
150,Venezuela,Dominican Republic,0.0040350002
151,Dominican Republic,Venezuela,0.059999999
152,Peru,Dominican Republic,0.00052200002
153,Dominican Republic,Peru,0.0099999998
154,Argentina,Dominican Republic,0.16
155,Dominican Republic,Argentina,0.0030370001
156,United Kingdom,Dominican Republic,1.71
157,Dominican Republic,United Kingdom,32.810001
158,Netherlands,Dominican Republic,0.0
159,Dominican Republic,Netherlands,0.0
160,France,Dominican Republic,0.00053899997
161,Dominican Republic,France,6.4722123
162,Spain,Dominican Republic,0.0070079998
163,Dominican Republic,Spain,0.079999998
164,Portugal,Dominican Republic,0.00067400001
165,Dominican Republic,Portugal,0.0024300001
166,Italy,Dominican Republic,0.0
167,Dominican Republic,Italy,0.0
168,Norway,Dominican Republic,0.001786
169,Dominican Republic,Norway,0.0
170,South Africa,Dominican Republic,0.0
171,Dominican Republic,South Africa,0.0033720001
172,New Zealand,Dominican Republic,0.00121
173,Dominican Republic,New Zealand,0.00058699999
174,Netherlands,Mexico,0.44
175,Mexico,Netherlands,0.0
176,France,Mexico,1.91
177,Mexico,France,10.69389
178,Czechoslovakia,Mexico,0.17
179,Mexico,Czechoslovakia,0.02
180,Norway,Mexico,0.38
181,Mexico,Norway,0.15000001
182,Denmark,Mexico,0.25999999
183,Mexico,Denmark,0.0068890001
184,Netherlands,Guatemala,0.0
185,Guatemala,Netherlands,0.0
186,France,Guatemala,0.00088399998
187,Guatemala,France,0.14
188,Czechoslovakia,Guatemala,0.00038899999
189,Guatemala,Czechoslovakia,0.0
190,Norway,Guatemala,0.00134
191,Guatemala,Norway,0.079999998
192,Netherlands,Honduras,0.0
193,Honduras,Netherlands,0.0
194,France,Honduras,0.00076199998
195,Honduras,France,0.07
196,Norway,Honduras,0.050000001
197,Honduras,Norway,0.0
198,Netherlands,El Salvador,0.0
199,El Salvador,Netherlands,0.0
200,France,El Salvador,0.00077899999
201,El Salvador,France,0.029999999
202,Norway,El Salvador,0.001664
203,El Salvador,Norway,0.31999999
204,Netherlands,Nicaragua,0.0023139999
205,Nicaragua,Netherlands,0.0
206,France,Nicaragua,0.029999999
207,Nicaragua,France,0.059999999
208,Czechoslovakia,Nicaragua,0.000165
209,Nicaragua,Czechoslovakia,0.00013099999
210,Yugoslavia,Nicaragua,0.0
211,Nicaragua,Yugoslavia,1.8999999e-05
212,Norway,Nicaragua,0.0
213,Nicaragua,Norway,0.0
214,Denmark,Nicaragua,0.002197
215,Nicaragua,Denmark,0.000336
216,Paraguay,Costa Rica,0.0
217,Costa Rica,Paraguay,0.0
218,Netherlands,Costa Rica,0.0099999998
219,Costa Rica,Netherlands,0.0
220,France,Costa Rica,0.090000004
221,Costa Rica,France,0.000244
222,Poland,Costa Rica,0.0
223,Costa Rica,Poland,0.0
224,Czechoslovakia,Costa Rica,0.000231
225,Costa Rica,Czechoslovakia,0.0
226,Yugoslavia,Costa Rica,0.0
227,Costa Rica,Yugoslavia,0.0
228,Greece,Costa Rica,0.0
229,Costa Rica,Greece,0.0
230,Norway,Costa Rica,0.02
231,Costa Rica,Norway,0.0
232,Denmark,Costa Rica,0.0041970001
233,Costa Rica,Denmark,0.0
234,Egypt,Costa Rica,0.00045600001
235,Costa Rica,Egypt,0.0
236,Syria,Costa Rica,0.00053600001
237,Costa Rica,Syria,0.0
238,France,Panama,0.0
239,Panama,France,0.0
240,Norway,Panama,0.33000001
241,Panama,Norway,1.5700001
242,Paraguay,Colombia,0.0
243,Colombia,Paraguay,0.0
244,Netherlands,Colombia,0.44999999
245,Colombia,Netherlands,0.0
246,France,Colombia,1.29
247,Colombia,France,3.4371097
248,Poland,Colombia,0.0
249,Colombia,Poland,0.0
250,Czechoslovakia,Colombia,0.039999999
251,Colombia,Czechoslovakia,0.0
252,Albania,Colombia,0.0
253,Colombia,Albania,0.0
254,Yugoslavia,Colombia,0.0
255,Colombia,Yugoslavia,0.0
256,Greece,Colombia,2e-06
257,Colombia,Greece,0.0
258,Norway,Colombia,0.31
259,Colombia,Norway,0.000202
260,Denmark,Colombia,0.059999999
261,Colombia,Denmark,0.00083500001
262,Egypt,Colombia,3.0000001e-06
263,Colombia,Egypt,0.0
264,Syria,Colombia,0.0
265,Colombia,Syria,0.0
266,Paraguay,Venezuela,0.27000001
267,Venezuela,Paraguay,2.7e-05
268,Netherlands,Venezuela,0.94
269,Venezuela,Netherlands,0.0
270,France,Venezuela,1.91
271,Venezuela,France,62.315968
272,Poland,Venezuela,0.41
273,Venezuela,Poland,0.0
274,Czechoslovakia,Venezuela,0.14
275,Venezuela,Czechoslovakia,0.0
276,Norway,Venezuela,0.30000001
277,Venezuela,Norway,1.1
278,Denmark,Venezuela,0.28999999
279,Venezuela,Denmark,0.050000001
280,Egypt,Venezuela,0.000413
281,Venezuela,Egypt,0.0
282,Syria,Venezuela,0.039999999
283,Venezuela,Syria,4e-06
284,Netherlands,Ecuador,0.0
285,Ecuador,Netherlands,0.0
286,France,Ecuador,0.00098300003
287,Ecuador,France,0.059999999
288,Czechoslovakia,Ecuador,0.001269
289,Ecuador,Czechoslovakia,0.0
290,Norway,Ecuador,0.0049530002
291,Ecuador,Norway,0.12
292,Paraguay,Peru,0.029999999
293,Peru,Paraguay,0.001213
294,Netherlands,Peru,0.16
295,Peru,Netherlands,0.0
296,France,Peru,0.2
297,Peru,France,17.702944
298,Poland,Peru,0.0
299,Peru,Poland,1.7e-05
300,Czechoslovakia,Peru,0.02
301,Peru,Czechoslovakia,0.28
302,Yugoslavia,Peru,6.6000001e-05
303,Peru,Yugoslavia,2.9000001e-05
304,Greece,Peru,0.0
305,Peru,Greece,0.0
306,Norway,Peru,0.44
307,Peru,Norway,0.07
308,Denmark,Peru,0.02
309,Peru,Denmark,0.0
310,Egypt,Peru,4.4e-05
311,Peru,Egypt,0.000106
312,Syria,Peru,0.0096610002
313,Peru,Syria,4.9999999e-06
314,Paraguay,Brazil,0.0099999998
315,Brazil,Paraguay,0.15000001
316,Netherlands,Brazil,4.0100002
317,Brazil,Netherlands,14.58
318,France,Brazil,7.6700001
319,Brazil,France,44.818085
320,Poland,Brazil,1.0700001
