,source,target,value
0,Cuba,United States,104.93
1,United States,Cuba,77.550003
2,Haiti,United States,3.03
3,United States,Haiti,5.1199999
4,Dominican Republic,United States,5.8200002
5,United States,Dominican Republic,6.7800002
6,Paraguay,United States,1.8
7,United States,Paraguay,0.67000002
8,Netherlands,United States,28.93
9,United States,Netherlands,80.849998
10,France,United States,62.349998
11,United States,France,149.18297
12,Germany,United States,52.439999
13,United States,Germany,79.25
14,Poland,United States,11.49
15,United States,Poland,16.1
16,Czechoslovakia,United States,4.0300002
17,United States,Czechoslovakia,3.75
18,Albania,United States,0.14
19,United States,Albania,0.13
20,Yugoslavia,United States,5.5
21,United States,Yugoslavia,5.6300001
22,Greece,United States,22.35
23,United States,Greece,15.61586
24,Estonia,United States,1.54
25,United States,Estonia,1.52
26,Latvia,United States,0.75
27,United States,Latvia,1.42
28,Lithuania,United States,0.49000001
29,United States,Lithuania,0.38
30,Norway,United States,21.68
31,United States,Norway,34.27
32,Denmark,United States,3.79
33,United States,Denmark,26.059999
34,Egypt,United States,7.02
35,United States,Egypt,12.84
36,Japan,United States,161.21001
37,United States,Japan,260.25
38,Cuba,Canada,0.85000002
39,Canada,Cuba,0.98000002
40,Haiti,Canada,0.039999999
41,Canada,Haiti,0.0
42,Dominican Republic,Canada,0.0099999998
43,Canada,Dominican Republic,0.0
44,Paraguay,Canada,0.090000004
45,Canada,Paraguay,0.0
46,Netherlands,Canada,3.6400001
47,Canada,Netherlands,5.1199999
48,France,Canada,5.7800002
49,Canada,France,9.71
50,Germany,Canada,8.5900002
51,Canada,Germany,0.0
52,Poland,Canada,0.17
53,Canada,Poland,0.0
54,Czechoslovakia,Canada,0.18000001
55,Canada,Czechoslovakia,0.0
56,Albania,Canada,0.0
57,Canada,Albania,0.0
58,Yugoslavia,Canada,0.18000001
59,Canada,Yugoslavia,0.005839
60,Greece,Canada,0.029999999
61,Canada,Greece,2.0690188
62,Estonia,Canada,0.0099999998
63,Canada,Estonia,0.0
64,Latvia,Canada,0.0091899997
65,Canada,Latvia,0.0
66,Lithuania,Canada,0.0052769999
67,Canada,Lithuania,0.0
68,Norway,Canada,0.64999998
69,Canada,Norway,13.22
70,Denmark,Canada,0.18000001
71,Canada,Denmark,0.31
72,Egypt,Canada,0.98000002
73,Canada,Egypt,0.22
74,Japan,Canada,4.6700001
75,Canada,Japan,32.709999
76,Haiti,Cuba,0.000121
77,Cuba,Haiti,0.0099999998
78,Dominican Republic,Cuba,0.0099999998
79,Cuba,Dominican Republic,0.07
80,Mexico,Cuba,0.75999999
81,Cuba,Mexico,0.0099999998
82,Guatemala,Cuba,0.0059639998
83,Cuba,Guatemala,0.0061849998
84,Honduras,Cuba,0.00043300001
85,Cuba,Honduras,0.02
86,El Salvador,Cuba,0.0
87,Cuba,El Salvador,0.001334
88,Nicaragua,Cuba,0.00025400001
89,Cuba,Nicaragua,0.0
90,Costa Rica,Cuba,0.001287
91,Cuba,Costa Rica,0.079999998
92,Panama,Cuba,0.003237
93,Cuba,Panama,0.14
94,Colombia,Cuba,0.006325
95,Cuba,Colombia,0.31999999
96,Venezuela,Cuba,0.00024600001
97,Cuba,Venezuela,0.23999999
98,Ecuador,Cuba,0.07
99,Cuba,Ecuador,0.20999999
100,Peru,Cuba,0.0099999998
101,Cuba,Peru,0.12
102,Brazil,Cuba,0.0099999998
103,Cuba,Brazil,0.0099999998
104,Bolivia,Cuba,0.0
105,Cuba,Bolivia,0.0034630001
106,Paraguay,Cuba,0.0099999998
107,Cuba,Paraguay,0.002349
108,Chile,Cuba,0.57999998
109,Cuba,Chile,0.13
110,Argentina,Cuba,0.22
111,Cuba,Argentina,0.41
112,Uruguay,Cuba,0.02
113,Cuba,Uruguay,0.059999999
114,United Kingdom,Cuba,3.0599999
115,Cuba,United Kingdom,26.209999
116,Ireland,Cuba,0.00055699999
117,Cuba,Ireland,0.0
118,Netherlands,Cuba,0.61000001
119,Cuba,Netherlands,1.5599999
120,France,Cuba,2.27
121,Cuba,France,3.05
122,Switzerland,Cuba,0.5
123,Cuba,Switzerland,1.53
124,Spain,Cuba,1.34
125,Cuba,Spain,2.23
126,Portugal,Cuba,0.43000001
127,Cuba,Portugal,0.029999999
128,Germany,Cuba,3.3800001
129,Cuba,Germany,2.23
130,Poland,Cuba,0.079999998
131,Cuba,Poland,0.0099999998
132,Hungary,Cuba,0.14
133,Cuba,Hungary,0.0099999998
134,Czechoslovakia,Cuba,0.23
135,Cuba,Czechoslovakia,0.050000001
136,Italy,Cuba,0.98000002
137,Cuba,Italy,0.34
138,Albania,Cuba,0.0
139,Cuba,Albania,0.0
140,Yugoslavia,Cuba,0.02
141,Cuba,Yugoslavia,0.0033130001
142,Greece,Cuba,4.7000001e-05
143,Cuba,Greece,0.0
144,Bulgaria,Cuba,0.0
145,Cuba,Bulgaria,1.7e-05
146,Romania,Cuba,0.0099999998
147,Cuba,Romania,0.00062100001
148,Russia,Cuba,0.00098799996
149,Cuba,Russia,0.0
150,Estonia,Cuba,0.000207
151,Cuba,Estonia,0.38
152,Latvia,Cuba,0.00156
153,Cuba,Latvia,5.5e-05
154,Lithuania,Cuba,0.000734
155,Cuba,Lithuania,0.0099999998
156,Finland,Cuba,0.050000001
157,Cuba,Finland,0.5
158,Sweden,Cuba,0.97000003
159,Cuba,Sweden,0.31
160,Norway,Cuba,0.44
161,Cuba,Norway,1.63
162,Denmark,Cuba,0.02
163,Cuba,Denmark,0.059999999
164,Liberia,Cuba,0.0
165,Cuba,Liberia,0.0
166,South Africa,Cuba,0.0
167,Cuba,South Africa,0.079999998
168,Iran,Cuba,0.00013299999
169,Cuba,Iran,0.0
170,Turkey,Cuba,0.0095910002
171,Cuba,Turkey,0.0
172,Iraq,Cuba,0.0
173,Cuba,Iraq,0.0
174,Egypt,Cuba,0.039999999
175,Cuba,Egypt,0.0055590002
176,Afghanistan,Cuba,0.0
177,Cuba,Afghanistan,0.0
178,China,Cuba,0.02
179,Cuba,China,0.001304
180,Japan,Cuba,0.37
181,Cuba,Japan,0.20999999
182,Thailand,Cuba,2.1400001
183,Cuba,Thailand,0.000163
184,Australia,Cuba,0.1
185,Cuba,Australia,0.07
186,New Zealand,Cuba,0.00049000001
187,Cuba,New Zealand,0.00098300003
