,source,target,value
0,Canada,United States,260.0
1,United States,Canada,423.0
2,Cuba,United States,105.69
3,United States,Cuba,74.019997
4,Haiti,United States,2.96
5,United States,Haiti,3.6400001
6,Dominican Republic,United States,5.7399998
7,United States,Dominican Republic,5.6900001
8,Mexico,United States,49.0
9,United States,Mexico,63.0
10,Guatemala,United States,12.0
11,United States,Guatemala,10.0
12,Honduras,United States,8.9399996
13,United States,Honduras,7.0
14,El Salvador,United States,6.75
15,United States,El Salvador,4.0
16,Nicaragua,United States,3.96
17,United States,Nicaragua,3.0
18,Costa Rica,United States,4.6199999
19,United States,Costa Rica,6.0
20,Panama,United States,5.0
21,United States,Panama,26.0
22,Colombia,United States,49.0
23,United States,Colombia,46.0
24,Venezuela,United States,20.0
25,United States,Venezuela,54.0
26,Ecuador,United States,4.73
27,United States,Ecuador,4.0
28,Peru,United States,13.0
29,United States,Peru,21.0
30,Brazil,United States,98.0
31,United States,Brazil,72.0
32,Bolivia,United States,1.0
33,United States,Bolivia,7.0
34,Paraguay,United States,1.33
35,United States,Paraguay,0.63999999
36,Chile,United States,28.0
37,United States,Chile,28.0
38,Argentina,United States,40.0
39,United States,Argentina,77.0
40,Uruguay,United States,5.0
41,United States,Uruguay,6.0
42,United Kingdom,United States,118.0
43,United States,United Kingdom,548.0
44,Ireland,United States,1.0
45,United States,Ireland,23.0
46,Netherlands,United States,31.440001
47,United States,Netherlands,84.360001
48,Belgium,United States,42.0
49,United States,Belgium,85.0
50,France,United States,54.0
51,United States,France,151.88
52,Switzerland,United States,23.0
53,United States,Switzerland,28.0
54,Spain,United States,9.0
55,United States,Spain,14.0
56,Portugal,United States,5.0
57,United States,Portugal,12.0
58,Germany,United States,64.550003
59,United States,Germany,96.788757
60,Poland,United States,13.41
61,United States,Poland,29.870001
62,Austria,United States,1.27
63,United States,Austria,20.0
64,Hungary,United States,4.0
65,United States,Hungary,7.0
66,Czechoslovakia,United States,26.17
67,United States,Czechoslovakia,26.52
68,Italy,United States,41.0
69,United States,Italy,70.0
70,Albania,United States,0.15000001
71,United States,Albania,0.27000001
72,Yugoslavia,United States,3.8499999
73,United States,Yugoslavia,6.9200001
74,Greece,United States,14.87
75,United States,Greece,9.6899996
76,Bulgaria,United States,2.0
77,United States,Bulgaria,2.0
78,Romania,United States,2.0
79,United States,Romania,7.0
80,Russia,United States,24.0
81,United States,Russia,77.0
82,Estonia,United States,1.24
83,United States,Estonia,1.5700001
84,Latvia,United States,0.55000001
85,United States,Latvia,1.34
86,Lithuania,United States,0.92000002
87,United States,Lithuania,0.69
88,Finland,United States,18.0
89,United States,Finland,17.0
90,Sweden,United States,45.0
91,United States,Sweden,85.0
92,Norway,United States,15.68
93,United States,Norway,29.25
94,Denmark,United States,3.3199999
95,United States,Denmark,27.91
96,South Africa,United States,4.0
97,United States,South Africa,82.0
98,Iran,United States,3.0
99,United States,Iran,7.0
100,Turkey,United States,19.0
101,United States,Turkey,13.0
102,Iraq,United States,3.0
103,United States,Iraq,4.0
104,Egypt,United States,4.77
105,United States,Egypt,12.31
106,China,United States,44.0
107,United States,China,45.0
108,Japan,United States,126.76
109,United States,Japan,260.41
110,Thailand,United States,0.20999999
111,United States,Thailand,3.0
112,Australia,United States,9.0
113,United States,Australia,82.0
114,New Zealand,United States,6.0
115,United States,New Zealand,26.0
116,Cuba,Canada,0.43000001
117,Canada,Cuba,0.81
118,Haiti,Canada,0.059999999
119,Canada,Haiti,0.11
120,Dominican Republic,Canada,0.00033899999
121,Canada,Dominican Republic,0.28999999
122,Mexico,Canada,1.0
123,Canada,Mexico,1.0
124,Guatemala,Canada,0.079999998
125,Canada,Guatemala,0.039999999
126,Costa Rica,Canada,0.039999999
127,Canada,Costa Rica,0.050000001
128,Colombia,Canada,7.0
129,Canada,Colombia,1.0
130,Venezuela,Canada,2.0
131,Canada,Venezuela,1.0
132,Peru,Canada,3.0
133,Canada,Peru,1.0
134,Brazil,Canada,1.0
135,Canada,Brazil,4.0
136,Paraguay,Canada,0.050000001
137,Canada,Paraguay,0.0099999998
138,Chile,Canada,0.0099999998
139,Canada,Chile,1.0
140,Argentina,Canada,2.0
141,Canada,Argentina,6.0
142,United Kingdom,Canada,119.0
143,Canada,United Kingdom,358.0
144,Netherlands,Canada,3.73
145,Canada,Netherlands,12.45
146,Belgium,Canada,6.0
147,Canada,Belgium,11.0
148,France,Canada,6.0599999
149,Canada,France,17.84
150,Switzerland,Canada,3.0
151,Canada,Switzerland,6.0
152,Spain,Canada,1.0
153,Canada,Spain,3.0
154,Germany,Canada,9.8699999
155,Canada,Germany,17.414114
156,Poland,Canada,0.25
157,Canada,Poland,1.1
158,Austria,Canada,0.079999998
159,Canada,Austria,0.008316
160,Czechoslovakia,Canada,2.51
161,Canada,Czechoslovakia,3.1400001
162,Italy,Canada,3.0
163,Canada,Italy,2.0
164,Albania,Canada,0.00214
165,Canada,Albania,0.0079319999
166,Yugoslavia,Canada,0.059999999
167,Canada,Yugoslavia,0.0076819998
168,Greece,Canada,0.02
169,Canada,Greece,2.9000001
170,Estonia,Canada,0.0099999998
171,Canada,Estonia,0.001695
172,Latvia,Canada,0.0099999998
173,Canada,Latvia,0.27000001
174,Lithuania,Canada,0.000382
175,Canada,Lithuania,0.89999998
176,Sweden,Canada,2.0
177,Canada,Sweden,3.0
178,Norway,Canada,0.72000003
179,Canada,Norway,11.25
180,Denmark,Canada,0.17
181,Canada,Denmark,0.40000001
182,South Africa,Canada,2.0
183,Canada,South Africa,17.0
184,Turkey,Canada,1.0
185,Canada,Turkey,2.0
186,Egypt,Canada,0.54000002
187,Canada,Egypt,0.25
188,China,Canada,2.0
189,Canada,China,2.0
