,source,target,value
0,Cuba,United States,291.82999
1,United States,Cuba,133.92999
2,Haiti,United States,8.0100002
3,United States,Haiti,7.4400001
4,Dominican Republic,United States,11.66
5,United States,Dominican Republic,12.38
6,Paraguay,United States,3.45
7,United States,Paraguay,1.88
8,Spain,United States,25.08
9,United States,Spain,30.299999
10,Germany,United States,0.23999999
11,United States,Germany,0.0099999998
12,Ethiopia,United States,0.5
13,United States,Ethiopia,0.0099999998
14,Egypt,United States,10.15
15,United States,Egypt,890.83002
16,Japan,United States,0.059999999
17,United States,Japan,2.2
18,Cuba,Canada,7.6900001
19,Canada,Cuba,0.0
20,Haiti,Canada,0.61000001
21,Canada,Haiti,0.0
22,Dominican Republic,Canada,0.15000001
23,Canada,Dominican Republic,0.0
24,Paraguay,Canada,0.5
25,Canada,Paraguay,0.0
26,Germany,Canada,0.0
27,Canada,Germany,0.0
28,Ethiopia,Canada,0.0
29,Canada,Ethiopia,0.0
30,Egypt,Canada,0.050000001
31,Canada,Egypt,0.0
32,Japan,Canada,0.0060950001
33,Canada,Japan,0.0
34,Mexico,Cuba,0.0
35,Cuba,Mexico,0.80000001
36,Nicaragua,Cuba,0.0059930002
37,Cuba,Nicaragua,0.0099999998
38,Costa Rica,Cuba,2e-06
39,Cuba,Costa Rica,0.059999999
40,Colombia,Cuba,0.0
41,Cuba,Colombia,0.050000001
42,Venezuela,Cuba,0.0
43,Cuba,Venezuela,0.1
44,Peru,Cuba,0.0
45,Cuba,Peru,0.11
46,Brazil,Cuba,0.0
47,Cuba,Brazil,0.0099999998
48,Argentina,Cuba,0.0
49,Cuba,Argentina,0.55000001
50,United Kingdom,Cuba,0.0
51,Cuba,United Kingdom,42.639999
52,Italy,Cuba,0.0
53,Cuba,Italy,0.0
54,South Africa,Cuba,0.0
55,Cuba,South Africa,0.02
56,Australia,Cuba,0.0
57,Cuba,Australia,0.0087930001
58,New Zealand,Cuba,0.0
59,Cuba,New Zealand,0.000207
60,Mexico,Haiti,0.0
