,source,target,value
0,Cuba,United States,181.06
1,United States,Cuba,125.76
2,Haiti,United States,7.48
3,United States,Haiti,5.77
4,Dominican Republic,United States,9.7399998
5,United States,Dominican Republic,9.3000002
6,Paraguay,United States,3.3900001
7,United States,Paraguay,1.0599999
8,France,United States,5.0999999
9,United States,France,201.86
10,Spain,United States,13.68
11,United States,Spain,12.7
12,Germany,United States,3.47
13,United States,Germany,0.0099999998
14,Yugoslavia,United States,0.70999998
15,United States,Yugoslavia,0.55000001
16,Greece,United States,9.5100002
17,United States,Greece,12.78
18,Ethiopia,United States,0.23999999
19,United States,Ethiopia,0.0
20,Egypt,United States,12.39
21,United States,Egypt,249.84
22,Japan,United States,78.269997
23,United States,Japan,134.10001
24,Cuba,Canada,3.78
25,Canada,Cuba,0.0
26,Haiti,Canada,0.28
27,Canada,Haiti,0.0
28,Dominican Republic,Canada,4.2199998
29,Canada,Dominican Republic,0.0
30,Paraguay,Canada,0.090000004
31,Canada,Paraguay,0.0
32,France,Canada,0.28999999
33,Canada,France,9.3800001
34,Germany,Canada,0.0092730001
35,Canada,Germany,0.0
36,Yugoslavia,Canada,0.0099999998
37,Canada,Yugoslavia,0.0
38,Greece,Canada,0.02
39,Canada,Greece,0.0
40,Ethiopia,Canada,0.0
41,Canada,Ethiopia,0.0
42,Egypt,Canada,2.3199999
43,Canada,Egypt,0.0
44,Japan,Canada,2.04
45,Canada,Japan,4.6700001
46,Mexico,Cuba,0.0
47,Cuba,Mexico,2.05
48,Guatemala,Cuba,0.0
49,Cuba,Guatemala,0.0099999998
50,Nicaragua,Cuba,0.0047559999
51,Cuba,Nicaragua,0.0
52,Costa Rica,Cuba,0.00034599999
53,Cuba,Costa Rica,0.090000004
54,Colombia,Cuba,0.0
55,Cuba,Colombia,0.029999999
56,Venezuela,Cuba,0.0
57,Cuba,Venezuela,0.25999999
58,Peru,Cuba,0.0
59,Cuba,Peru,0.090000004
60,Brazil,Cuba,0.0
61,Cuba,Brazil,0.0099999998
