,source,target,value
0,Cuba,United States,509.62
1,United States,Cuba,491.84
2,Haiti,United States,20.139999
3,United States,Haiti,25.209999
4,Dominican Republic,United States,30.219999
5,United States,Dominican Republic,49.32
6,Paraguay,United States,2.26
7,United States,Paraguay,7.7399998
8,Netherlands,United States,26.469999
9,United States,Netherlands,451.10999
10,France,United States,47.009998
11,United States,France,2678.011
12,Spain,United States,76.0
13,United States,Spain,9.5400001e-06
14,Poland,United States,1.33
15,United States,Poland,107.7
16,Czechoslovakia,United States,23.200001
17,United States,Czechoslovakia,60.31245
18,Albania,United States,0.0080000004
19,United States,Albania,4.5500002
20,Yugoslavia,United States,5.7600002
21,United States,Yugoslavia,31.49
22,Greece,United States,16.629999
23,United States,Greece,166.50999
24,Norway,United States,22.1
25,United States,Norway,191.5
26,Denmark,United States,5.1300001
27,United States,Denmark,126.23
28,Ethiopia,United States,5.5799999
29,United States,Ethiopia,8.0799999
30,Egypt,United States,28.08
31,United States,Egypt,60.110001
32,Syria,United States,7.77
33,United States,Syria,43.150002
34,Cuba,Canada,21.85
35,Canada,Cuba,6.8600001
36,Haiti,Canada,0.2
37,Canada,Haiti,1.25
38,Dominican Republic,Canada,7.5300002
39,Canada,Dominican Republic,1.75
40,Paraguay,Canada,0.20999999
41,Canada,Paraguay,0.14
42,Netherlands,Canada,3.24
43,Canada,Netherlands,0.0
44,France,Canada,8.0500002
45,Canada,France,224.47986
46,Poland,Canada,0.002513
47,Canada,Poland,14.07
48,Czechoslovakia,Canada,3.3499999
49,Canada,Czechoslovakia,7.3200002
50,Albania,Canada,0.0
51,Canada,Albania,0.46000001
52,Yugoslavia,Canada,0.02
53,Canada,Yugoslavia,6.1500001
54,Greece,Canada,0.079999998
55,Canada,Greece,4.98
56,Norway,Canada,4.5900002
57,Canada,Norway,20.290001
58,Denmark,Canada,1.33
59,Canada,Denmark,4.23
60,Ethiopia,Canada,0.0082780002
61,Canada,Ethiopia,0.079999998
62,Egypt,Canada,0.18000001
63,Canada,Egypt,9.9899998
64,Syria,Canada,0.02
65,Canada,Syria,2.3299999
66,Nicaragua,Cuba,0.1
67,Cuba,Nicaragua,0.0099999998
68,Costa Rica,Cuba,0.18000001
69,Cuba,Costa Rica,0.14
70,Colombia,Cuba,0.0
71,Cuba,Colombia,1.87
72,Peru,Cuba,0.0049109999
73,Cuba,Peru,0.31999999
74,Brazil,Cuba,0.0
75,Cuba,Brazil,0.07
76,Argentina,Cuba,0.0
77,Cuba,Argentina,0.25
78,United Kingdom,Cuba,27.969999
79,Cuba,United Kingdom,162.11
80,Ireland,Cuba,0.0
81,Cuba,Ireland,0.79000002
82,Netherlands,Cuba,0.0
83,Cuba,Netherlands,10.31
84,France,Cuba,0.02
85,Cuba,France,15.248394
86,Switzerland,Cuba,1.0700001
87,Cuba,Switzerland,7.25
88,Spain,Cuba,0.18000001
89,Cuba,Spain,2.6500001
90,Portugal,Cuba,0.0099999998
91,Cuba,Portugal,3.02
92,Czechoslovakia,Cuba,0.02
93,Cuba,Czechoslovakia,0.22
94,Italy,Cuba,0.0
95,Cuba,Italy,0.0
96,Sweden,Cuba,1.21
97,Cuba,Sweden,1.09
98,Norway,Cuba,0.75
99,Cuba,Norway,0.11
100,Denmark,Cuba,0.0
101,Cuba,Denmark,0.00020900001
102,South Africa,Cuba,0.0
103,Cuba,South Africa,0.55000001
104,India,Cuba,0.0
105,Cuba,India,0.0061750002
106,Australia,Cuba,0.0
107,Cuba,Australia,0.07
108,New Zealand,Cuba,0.0
109,Cuba,New Zealand,0.02
110,Costa Rica,Haiti,0.0
111,Haiti,Costa Rica,0.0
112,Colombia,Haiti,0.0
113,Haiti,Colombia,0.079999998
114,Peru,Haiti,0.000231
115,Haiti,Peru,0.00121
116,Brazil,Haiti,0.0
117,Haiti,Brazil,0.0
118,Argentina,Haiti,0.0
119,Haiti,Argentina,0.005806
120,United Kingdom,Haiti,1.83
121,Haiti,United Kingdom,4.1799998
122,Netherlands,Haiti,0.0
123,Haiti,Netherlands,0.0
124,France,Haiti,0.0022549999
125,Haiti,France,2.523751
126,Switzerland,Haiti,0.02
127,Haiti,Switzerland,0.74000001
128,Spain,Haiti,8e-06
129,Haiti,Spain,0.0
130,Portugal,Haiti,7.5999997e-05
131,Haiti,Portugal,0.00036199999
132,Italy,Haiti,0.0
133,Haiti,Italy,0.0
134,Norway,Haiti,0.0048679998
135,Haiti,Norway,3.24
136,South Africa,Haiti,0.0
137,Haiti,South Africa,0.0055300002
138,Australia,Haiti,0.0
139,Haiti,Australia,0.00054899999
140,New Zealand,Haiti,0.0
141,Haiti,New Zealand,0.0
142,Nicaragua,Dominican Republic,0.0
143,Dominican Republic,Nicaragua,0.0
144,Costa Rica,Dominican Republic,0.029999999
145,Dominican Republic,Costa Rica,1.8000001e-05
146,Colombia,Dominican Republic,0.0
147,Dominican Republic,Colombia,0.000124
148,Peru,Dominican Republic,0.001874
149,Dominican Republic,Peru,0.00048399999
150,Argentina,Dominican Republic,0.0
151,Dominican Republic,Argentina,0.029999999
152,United Kingdom,Dominican Republic,3.9300001
153,Dominican Republic,United Kingdom,40.419998
154,Netherlands,Dominican Republic,0.0
