,source,target,value
0,Cuba,United States of America,105.42
1,United States of America,Cuba,84.690002
2,Haiti,United States of America,3.6099999
3,United States of America,Haiti,4.6100001
4,Dominican Republic,United States of America,5.3600001
5,United States of America,Dominican Republic,6.9899998
6,Paraguay,United States of America,1.88
7,United States of America,Paraguay,1.23
8,Netherlands,United States of America,8.54
9,United States of America,Netherlands,34.02
10,France,United States of America,36.560001
11,United States of America,France,176.72
12,Spain,United States of America,4.02
13,United States of America,Spain,7.4400001
14,Germany,United States of America,5.4099998
15,United States of America,Germany,6.3299999
16,Yugoslavia,United States of America,1.05
17,United States of America,Yugoslavia,2.98
18,Greece,United States of America,12.93
19,United States of America,Greece,9.7600002
20,Norway,United States of America,7.9299998
21,United States of America,Norway,24.549999
22,Denmark,United States of America,0.92000002
23,United States of America,Denmark,17.98
24,Egypt,United States of America,7.2800002
25,United States of America,Egypt,20.559999
26,Japan,United States of America,158.37
27,United States of America,Japan,290.73999
28,Cuba,Canada,1.21
29,Canada,Cuba,0.0
30,Haiti,Canada,0.19
31,Canada,Haiti,0.0
32,Dominican Republic,Canada,3.22
33,Canada,Dominican Republic,0.0
34,Paraguay,Canada,0.050000001
35,Canada,Paraguay,0.0
36,Netherlands,Canada,0.99000001
37,Canada,Netherlands,0.0
38,France,Canada,4.0
39,Canada,France,11.96
40,Germany,Canada,0.28999999
41,Canada,Germany,0.0
42,Yugoslavia,Canada,0.050000001
43,Canada,Yugoslavia,0.0
44,Greece,Canada,0.1
45,Canada,Greece,0.0
46,Norway,Canada,0.22
47,Canada,Norway,4.8400002
48,Denmark,Canada,0.050000001
49,Canada,Denmark,0.20999999
50,Egypt,Canada,0.82999998
51,Canada,Egypt,0.0
52,Japan,Canada,5.0100002
53,Canada,Japan,17.309999
54,Mexico,Cuba,0.0
55,Cuba,Mexico,0.029999999
56,Guatemala,Cuba,0.0
57,Cuba,Guatemala,0.0099999998
58,Nicaragua,Cuba,0.0089100003
59,Cuba,Nicaragua,0.0
